text,label
Tôi cực kỳ thích dịch vụ ở quán.,tích cực
Tôi cảm thấy thất vọng về thời tiết hôm nay.,tiêu cực
Tôi yêu việc người bạn của tôi.,tích cực
Tôi cảm thấy tiêu cực về đồ ăn ở quán.,tiêu cực
tin tức hôm nay chỉ là chuyện hằng ngày.,trung tính
việc học thật sự khiến tôi mệt mỏi.,tiêu cực
Tôi cảm thấy trung lập về sức khỏe.,trung tính
Tôi ghét việc bữa ăn trưa.,tiêu cực
Thật tuyệt vời khi công việc.,tích cực
Tôi ghét việc bữa ăn trưa.,tiêu cực
Tôi ghét việc sản phẩm tôi mua.,tiêu cực
công việc làm tôi rất khó chịu.,tiêu cực
Tôi cực kỳ thích bộ phim tối qua.,tích cực
Tôi ghét việc kết quả làm việc.,tiêu cực
người bạn của tôi không ảnh hưởng gì đến tôi.,trung tính
Tôi cảm thấy rất vui vì trò chơi mới.,tích cực
công việc không ảnh hưởng gì đến tôi.,trung tính
Thật tuyệt vời khi chuyện gia đình.,tích cực
Tôi ghét việc công việc.,tiêu cực
"Hôm nay thật kinh khủng, một tin nhắn bất ngờ.",tiêu cực
"Hôm nay thật tuyệt, thời tiết hôm nay.",tích cực
Tôi cảm thấy thất vọng về sức khỏe.,tiêu cực
Thật hạnh phúc khi sản phẩm tôi mua.,tích cực
việc sửa nhà cũng được.,trung tính
sức khỏe là chuyện bình thường.,trung tính
việc nhà làm tôi rất khó chịu.,tiêu cực
Tôi cảm thấy tiêu cực về tài chính gần đây.,tiêu cực
"Hôm nay thật tuyệt, bài tập nhóm.",tích cực
Tôi cực kỳ thích sản phẩm tôi mua.,tích cực
Tôi ghét việc ngày cuối tuần.,tiêu cực
đồ ăn ở quán thật sự khiến tôi mệt mỏi.,tiêu cực
"Hôm nay thật tuyệt, công việc.",tích cực
kế hoạch mới chỉ là chuyện hằng ngày.,trung tính
chuyến xe buýt cũng được.,trung tính
Tôi cảm thấy trung lập về tài chính gần đây.,trung tính
Tôi rất buồn vì dịch vụ ở quán.,tiêu cực
bài kiểm tra không ảnh hưởng gì đến tôi.,trung tính
cuộc hẹn làm tôi rất khó chịu.,tiêu cực
"Không tốt cũng không xấu, bài nhạc.",trung tính
Tôi cảm thấy trung lập về sản phẩm tôi mua.,trung tính
công việc là chuyện bình thường.,trung tính
Tôi cảm thấy rất vui vì chuyến du lịch.,tích cực
Thật hạnh phúc khi sản phẩm tôi mua.,tích cực
